Alias,CAS NUM,Available DataBase,Component ID,ComponentID,OtherID,common_names,Ignition,Flash
C,7440-44-0,True,C,carbon,,carbon,0,0
H2,1333-74-0,True,H2,molecular hydrogen,,hydrogen,500,0
N2,7727-37-9,True,N2,molecular nitrogen,,nitrogen,0,0
S,7704-34-9,True,S,sulfur,,sulfur,0,0
O2,7782-44-7,True,O2,molecular oxygen,,oxygen,537,-188
H2O,7732-18-5,True,H2O,oxidane,,water,515,-135
CH4,74-82-8,True,CH4,methane,,methane,450,-136
C2H6,74-84-0,True,C2H6,ethane,,ethane,470,-104
C2H4,74-85-1,True,C2H4,ethene,,ethene,450,-136
C3H8,74-98-6,True,C3H8,propane,,propane,470,-104
,,True,115-07-1,propene,,propene,430,-100
C4H10-1,106-97-8,True,C4H10,butane,,butane,405,-60
C4H8-1,106-98-9,True,C4H8,but-1-ene,,1-butene,385,-78
C4H6-1,107-00-6,True,C4H6,but-1-yne,,1-butyne,260,-60
CO2,124-38-9,True,CO2,carbon dioxide,,carbon dioxide,0,0
CO,630-08-0,True,CO,carbon monoxide,,carbon monoxide,609,-191
H2S,6/4/7783,True,H2S,hydrogen sulfide,,hydrogen sulfide,260,-82
,110-54-3,True,C6H14,hexane,,hexane,225,-7
C5H12-1,109-66-0,True,C5H12,pentane,,pentane,325,-100
C5H8-E5,627-21-4,True,C5H8-E5,pent-2-yne,,2-pentyne,275,-20
C6H10-D1,693-89-0,True,C6H10-D1,1-methylcyclopentene,,1-methylcyclopentene,275,-20
C6H10-D2,1120-62-3,True,C6H10-D2,3-methylcyclopentene,,3-methylcyclopentene,300,0
C8H14-D2,627-58-7,True,C8H14,"2,5-dimethylhexa-1,5-diene",,bimethallyl,290,0
C8H18-12,564-02-3,True,C8H18-12,"2,2,3-trimethylpentane",,"2,2,3-trimethylpentane",270,-10
C7H14-2,1638-26-2,True,C7H14-2,"1,1-dimethylcyclopentane",,gem-dimethylcyclopentane,290,0
C8H18-15,565-75-3,True,C8H18-15,"2,3,4-trimethylpentane",,"2,3,4-trimethylpentane",290,0
C8H18-10,583-48-2,True,C8H18-10,"3,4-dimethylhexane",,"3,4-dimethylhexane",290,0
C7H14-5,1640-89-7,True,C7H14-5,ethylcyclopentane,,ethylcyclopentane,280,-10
C7H14-6,108-87-2,True,C7H14-6,methylcyclohexane,,methylcyclohexane,250,-10
C8H16-1,590-66-9,True,C8H16-1,"1,1-dimethylcyclohexane",,"1,1-dimethylcyclohexane",290,0
C8H16-16,111-66-0,True,C8H16-16,oct-1-ene,,1-octene,230,21
C8H16-8,1678-91-7,True,C8H16-8,ethylcyclohexane,,ethylcyclohexane,237,35
C9H18-N26,3073-66-3,True,C9H18,"1,1,3-trimethylcyclohexane",,cyclogeraniolane,0,0
C9H18-3,124-11-8,True,C9H18-2,non-1-ene,,1-nonene,0,0
C9H18-D2,4588-18-5,True,C9H18-3,2-methyloct-1-ene,,2-methyl-1-octene,0,0
C10H16-D1,5989-27-5,True,LIMONENE,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-",237,48
C10H16-D2,80-56-8,True,C10H16-2,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",,alpha-pinene,0,0
C10H16-N38,5989-54-8,True,C10H16-3,Limonene,(4S)-1-methyl-4-prop-1-en-2-ylcyclohexene,dipentene,3,48
C6H6,71-43-2,True,C6H6,benzene,,benzene,237,-11
C7H8,108-88-3,True,C7H8,toluene,,toluene,475,4
C8H10-4,100-41-4,True,C8H10,ethylbenzene,,ethylbenzene,410,58
C8H10-2,108-38-3,True,C8H10-2,"1,3-xylene",,m-xylene,540,25
C8H8,100-42-5,True,C8H8,styrene,,styrene,490,31
C9H12-2,98-82-8,True,C9H12,cumene,,cumene,420,39
C9H12-5,622-96-8,True,C9H12-1,1-ethyl-4-methylbenzene,,4-ethyltoluene,452,36
C9H12-1,103-65-1,True,C9H12-2,propylbenzene,,propylbenzene,450,45
C9H12-3,611-14-3,True,C9H12-3,1-ethyl-2-methylbenzene,,2-ethyltoluene,480,39
C9H12-4,620-14-4,True,C9H12-4,1-ethyl-3-methylbenzene,,3-ethyltoluene,0,0
C9H12-6,526-73-8,True,C9H12-6,"1,2,3-trimethylbenzene",,"1,2,3-trimethylbenzene",470,44
C6H6O,108-95-2,True,C6H6O,phenol,,phenol,715,79
C7H5N,100-47-0,True,C7H5N,benzonitrile,,benzonitrile,642,82
C9H10-E6,873-66-5,True,C9H10-E6,prop-1-enylbenzene,(E)-prop-1-enyl]benzene,"benzene, propenyl-",0,0
C10H14-7,99-87-6,True,C10H14-7,1-methyl-4-propan-2-ylbenzene,,p-cymene,550,27
C9H10-E1,496-11-7,True,C9H10-E1,"2,3-dihydro-1H-indene",,indan,0,0
C9H8,95-13-6,True,C9H8,1H-indene,,indene,465,11
C10H14-1,104-51-8,True,C10H14-1,butylbenzene,,butylbenzene,480,5
C10H14-D3,933-98-2,True,C10H14D3,"1-ethyl-2,3-dimethylbenzene",,"1-ethyl-2,3-dimethylbenzene",0,0
C10H14-6,535-77-3,True,C10H14-6,m-Cymene,1-methyl-3-propan-2-ylbenzene,m-cymene,0,0
C10H14-E3,874-41-9,True,C10H14E3,"1-ethyl-2,4-dimethylbenzene",,"1-ethyl-2,4-dimethylbenzene",0,0
C10H14-5,527-84-4,True,C10H14-5,o-Cymene,1-methyl-2-propan-2-ylbenzene,o-cymene,0,0
C10H12-N7,874-35-1,True,C10H12N7,"5-methyl-2,3-dihydro-1H-indene",,5-methylindan,0,0
C10H14-E6,527-53-7,True,C10H14E6,"1,2,3,5-tetramethylbenzene",,isodurene,0,0
C10H14-E7,488-23-3,True,C10H14E7,"1,2,3,4-tetramethylbenzene",,"1,2,3,4-tetramethylbenzene",0,0
C11H16-D1,18970-44-0,True,C11H16D1,1-ethyl-2-propan-2-ylbenzene,,"Benzene, 1-ethyl-2-(1-methylethyl)-",0,0
C8H10O-5,526-75-0,True,C8H10O,"2,3-dimethylphenol",,"2,3-dimethylphenol",599,95
C10H12-N1,767-58-8,True,C10H12N1,"1-methyl-2,3-dihydro-1H-indene",,1-methylindan,0,0
C7H6O2,65-85-0,True,C7H6O2,benzoic acid,,benzoic acid,570,121
C10H12-N5,824-63-5,True,C10H12N5,"2-methyl-2,3-dihydro-1H-indene",,"1h-indene, 2,3-dihydro-2-methyl-",0,0
C10H10-D2,767-59-9,True,C10H10-D,1-methyl-1H-indene,,1-methyl-1h-indene,0,0
C10H12,119-64-2,True,C10H12,"1,2,3,4-tetrahydronaphthalene",,"1,2,3,4-tetrahydronaphthalene",385,82
C10H12-N4,824-22-6,True,C10H12-4,"4-methyl-2,3-dihydro-1H-indene",,4-methylindan,0,0
C10H8,91-20-3,True,C10H8,naphthalene,,naphthalene,526,79
C9H12O-N2,99-89-8,True,C9H120,4-propan-2-ylphenol,,4-isopropylphenol,0,0
C7H5NS,149-30-4,True,C7H5NS,Benzothiazole,"3H-1,3-benzothiazole-2-thione",benzothiazole,628,243
C11H14-N14,2809-64-5,True,C11H14,"5-methyl-1,2,3,4-tetrahydronaphthalene",,5-methyltetralin,0,0
C12H18-D3,1077-16-3,True,C12H18,hexylbenzene,,1-phenylhexane,0,0
C11H10-1,90-12-0,True,C11H10,1-methylnaphthalene,,1-methylnaphthalene,529,82
C11H10-2,91-57-6,True,C11H10-1,2-methylnaphthalene,,2-methylnaphthalene,0,0
C12H14,4773-83-5,True,C12H14,"1,2,3-trimethyl-1H-indene",,"1,2,3-trimethylindene",0,0
C12H10,92-52-4,True,C12H10,"1,1'-biphenyl",,biphenyl,540,82
C12H12-E3,1127-76-0,True,C12H12,1-ethylnaphthalene,,1-ethylnaphthalene,0,0
C12H12-E4,939-27-5,True,C12H12-2,2-ethylnaphthalene,,2-ethylnaphthalene,0,0
C12H12,569-41-5,True,C12H12-1,"1,8-dimethylnaphthalene",,"1,8-dimethylnaphthalene",0,0
C12H12-N2,571-61-9,True,C12H12-3,"1,5-dimethylnaphthalene",,"1,5-dimethylnaphthalene",0,0
C12H12-E2,582-16-1,True,C12H12-4,"2,7-dimethylnaphthalene",,"2,7-dimethylnaphthalene",0,0
C10H9N,91-63-4,True,C10H9N,2-methylquinoline,,quinaldine,0,0
C14H28-2,1120-36-1,True,C14H28,tetradec-1-ene,,1-tetradecene,235,110
C15H32,629-62-9,True,C15H32,pentadecane,,pentadecane,0,0
C13H14-N4,879-12-9,True,C13H14,"1,2,3-trimethylnaphthalene","1,2,3-trimethylnaphthalene","1,2,3-trimethylnaphthalene",0,0
Faltaba,,True,,butylbenzene,,,410,71
C13H14-N2,641-91-8,True,C13H14-2,"1,2,5-trimethylnaphthalene",,"1,2,5-trimethylnaphthalene",0,0
C13H10,86-73-7,True,C13H10,9H-fluorene,,fluorene,0,0
C14H14-N15,10/7/4433,True,C14H14-1,"2,4-dimethyl-1-phenylbenzene",,"1,1'-biphenyl, 2,4-dimethyl-",0,0
C15H30-2,13360-61-7,True,C15H30,pentadec-1-ene,,1-pentadecene,0,0
C16H34,544-76-3,True,C16H34,hexadecane,,hexadecane,202,135
C14H10-2,85-01-8,False,C14H10,phenanthrene,,NaN,0,0
C14H10-1,120-12-7,True,C14H10-1,anthracene,,anthracene,540,121
C15H12-D1,832-64-4,True,C15H12,4-methylphenanthrene,,4-methylphenanthrene,0,0
C15H30O2,1002-84-2,True,C15H30O2,pentadecanoic acid,,pentadecanoic acid,0,0
C15H12-N10,832-71-3,True,C15H12-2,3-methylphenanthrene,,3-methylphenanthrene,0,0
C15H12-N6,2531-84-2,True,C15H12-3,2-methylphenanthrene,,2-methylphenanthrene,0,0
,,True,,Nonadecane,,,0,0
,,False,,trimethylphenanthrene,,,0,0
C18H18,483-65-8,True,C18H18,1-methyl-7-propan-2-ylphenanthrene,,retene,0,0
C20H42,112-95-8,True,C20H42,icosane,,eicosane,0,0
C21H44,629-94-7,True,C21H44,henicosane,,heneicosane,0,0
C22H46,629-97-0,True,C22H46,docosane,,docosane,0,0
C24H50,646-31-1,True,C24H50,tetracosane,,tetracosane,0,0
C11H24,1120-21-4,True,C11H24,undecane,,undecane,0,0
0,0,True,NH3,ammonia,,0,0,0
0,0,True,C6H12,cyclohexane,,0,0,0
